Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GOSFIELD WIND FINANCIAL CORPORATION,CA,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
"GOSSAMER BIO, INC",US,Biotechnology,Biotechnology,BB,4.1,7.1,3.8,5.3
GP STRATEGIES CORPORATION,US,Software & Services,Human Resource & Employment Services,BBB,5.5,3.5,4.4,5.7
GP WIND (JANGI) PRIVATE LIMITED,IN,Casinos & Gaming,Casinos & Gaming,BB,3.5,4.6,4.9,2.6
GPB-PROYEKT OOO,RU,Banks,,CCC,0.8,0,4.9,0
GPN Capital SA,LU,Integrated Oil & Gas,Integrated Oil & Gas,B,2.85,4.7,6.6,0.9
GPT RE LIMITED,AU,Real Estate Management & Services,Diversified REITs,AA,7.9,6.7,3.3,7.9
GPT WHOLESALE OFFICE FUND NO1,AU,Real Estate Management & Services,Diversified REITs,AA,7.9,6.7,3.3,7.9
GPT WHOLESALE SHOPPING CENTRE FUND NO 1,AU,Real Estate Management & Services,Diversified REITs,AA,7.9,6.7,3.3,7.9
GRACECHURCH CARD PROGRAMME FUNDING PLC,GB,Professional Services,Asset Management & Custody Banks,BBB,5.6,6.7,5.3,6.6
GRACO INC,US,Industrial Machinery,Industrial Machinery,A,6.6,4.8,6.2,5.2
GRAFTECH FINANCE INC,US,Electrical Equipment,Electrical Components & Equipment,B,2.6,2.9,5.7,5.1
GRAFTECH INTERNATIONAL LTD,US,Electrical Equipment,Electrical Components & Equipment,B,2.6,2.9,5.7,5.1
GRAHAM HOLDINGS COMPANY,US,Diversified Consumer Services,Education Services,BBB,5.5,6.3,5.3,2.2
GRAHAM PACKAGING COMPANY INC,US,Containers & Packaging,Paper Packaging,B,1.7,3.5,4.2,5.5
"GRAIN HOLDCO, LLC",US,Telecommunication Services,Specialized REITs,AA,8.3,10,7.4,5.6
GRAINCORP LIMITED,AU,Retail - Food & Staples,Food Distributors,AA,8.1,4.4,5.1,8.3
GRAINGER PLC,GB,Real Estate Management & Services,Real Estate Operating Companies,AA,8.2,3.6,8.5,7.5
GRAN TIERRA ENERGY INC,CA,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BB,3.5,2.3,5.6,5.4
GRAN TIERRA ENERGY INTERNATIONAL HOLDINGS LTD,KY,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BB,3.5,2.3,5.6,5.4
"GRAND CANYON EDUCATION, INC",US,Diversified Consumer Services,Education Services,BBB,4.8,5.9,3.4,6.3
GRAND PHARMACEUTICAL GROUP LIMITED,HK,Pharmaceuticals,Pharmaceuticals,BB,3.1,2,3.9,3.5
GRAND RENEWABLE SOLAR LP,CA,Industrial Conglomerates,Industrial Conglomerates,A,7,3.4,5.9,4.5
GRANITE CONSTRUCTION INCORPORATED,US,Construction & Engineering,Construction & Engineering,A,5.8,4.6,4,5.2
