Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
"Beijing Automotive Group Co, Ltd",CN,Automobiles,,B,1.7,6.1,1.5,1.8
"Beijing BDStar Navigation Co, Ltd",CN,"Technology Hardware, Storage & Peripherals",Communications Equipment,B,2.4,3.1,3.8,3.2
"Beijing Capital Eco-Environment Protection Group Co,Ltd",CN,Utilities,Water Utilities,CCC,0.7,3.1,4,2.2
Beijing Capital International Airport Company Limited,CN,Transportation Infrastructure,Airport Services,BB,3,9.3,4.4,1.3
"Beijing Capital Land Co, Ltd",CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,3.9,4.4,1.4,5
"Beijing Dabeinong Technology Group Co, Ltd",CN,Food Products,Agricultural Products,CCC,0.5,2.2,1.5,3.7
"Beijing E-hualu Information Technology Co, Ltd",CN,Software & Services,Application Software,CCC,1.2,3.8,3.3,2
"Beijing Easpring Material Technology CO, LTD",CN,Specialty Chemicals,Specialty Chemicals,BB,2.9,2.9,0,5.8
"Beijing Electric Vehicle Co, Ltd",CN,Automobiles,Automobile Manufacturers,AA,7.7,9.4,4.7,2.1
"Beijing Energy International Holding Co, Ltd",HK,Utilities,Renewable Electricity,BB,3.2,9.6,1.8,2.7
"Beijing Enlight Media Co, Ltd",CN,Media & Entertainment,Movies & Entertainment,B,1.7,6.9,3.6,2.3
Beijing Enterprises Water Capital Management Holdings Limited,HK,Utilities,Water Utilities,BBB,4.7,6.3,6.4,2.7
Beijing Gas Singapore Capital Corporation,VG,Utilities,Gas Utilities,BBB,4.4,6.5,4.2,3.5
Beijing Huafeng Test & Control Technology Co Ltd,CN,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,CCC,0,2.1,1.8,4.4
"Beijing Jingdong Century Trading Co, Ltd",CN,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BB,2.9,1.6,6.2,2.1
Beijing Kingsoft Office Software Inc,CN,Software & Services,Application Software,BB,2.9,3.7,4.6,2.2
"Beijing Lujinjuanyu Real Estate Development Co, Ltd",CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,3.2,4.2,3.1,3.5
Beijing New Building Materials Public Limited Company,CN,Building Products,Building Products,CCC,0.6,4.4,4.8,2.9
"Beijing Originwater Technology Co, Ltd",CN,Commercial Services & Supplies,Environmental & Facilities Services,B,1.6,4.6,4.8,1.8
Beijing Roborock Technology Co Ltd,CN,Household Durables,Household Appliances,CCC,0,3.3,2.7,2.1
"Beijing Shiji Information Technology Co, Ltd",CN,Software & Services,Application Software,BBB,4.8,3.8,5.3,3.2
"Beijing Sinnet Technology Co, Ltd",CN,Software & Services,Internet Services & Infrastructure,BBB,4.8,6.2,4.3,3.6
Beijing Tiantan Biological Products Corporation Limited,CN,Biotechnology,Biotechnology,CCC,0.7,6.5,4,2.1
Beijing Tong Ren Tang Chinese Medicine Co Ltd,HK,Pharmaceuticals,Pharmaceuticals,A,6.2,5,6.2,2.1
Beijing United Information Technology Co Ltd,CN,Trading Companies & Distributors,Trading Companies & Distributors,B,1.7,3.7,5.1,2.6
Beijing Wantai Biological Pharmacy Enterprise Co Ltd,CN,Biotechnology,Biotechnology,CCC,0,3.1,3.3,2.1
Beijing Yuanliu Hongyuan Electronic Technology Co Ltd,CN,"Electronic Equipment, Instruments & Components",Electronic Components,B,2.6,3.2,3.2,4.2
Beijing-Shanghai High Speed Railway Co Ltd,CN,Road & Rail Transport,Railroads,CCC,0.3,2.2,2.7,1.4
"Beiqi Foton Motor Co, Ltd",CN,Automobiles,Automobile Manufacturers,BBB,4.6,6,3.5,2.7
Bekaert NV,BE,Steel,Steel,A,7.1,4,4.3,6.7
Belc Co Ltd,JP,Retail - Food & Staples,Food Retail,BBB,5.4,1.7,5.5,3.8
Belfius Financing Company SA,LU,Banks,,A,7.1,5.7,4,5.5
Belimo Holding AG,CH,Building Products,Building Products,AA,8.4,5.5,5.6,7.2
Bell Food Group AG,CH,Food Products,Packaged Foods & Meats,AA,7.6,4.4,6.3,4.6
Bell MTS Inc,CA,Telecommunication Services,Integrated Telecommunication Services,BBB,5.6,10,4.5,5.7
"BellSouth Telecommunications, LLC",US,Telecommunication Services,Integrated Telecommunication Services,BB,4.1,10,4.6,4
Bellevue Gold Ltd,AU,Metals and Mining - Precious Metals,Gold,BBB,4.9,0.4,5.6,7.3
Belron Group SA,LU,Retail - Consumer Discretionary,Distributors,AA,7.8,5.3,5.1,5.9
Benefit One Inc,JP,Professional Services,Human Resource & Employment Services,BB,3.3,7,5,4.2
"Benesse Holdings, Inc",JP,Diversified Consumer Services,Education Services,AA,7.6,10,5.4,5.9
Bengo4com Inc,JP,Interactive Media & Services,Interactive Media & Services,BB,3,6.5,2.8,2.8
Berkshire Grey Inc,US,Industrial Machinery,Industrial Machinery,BBB,4.6,2.7,5.6,5.3
Berli Jucker Public Company Limited,TH,Retail - Food & Staples,Hypermarkets & Super Centers,BBB,5.7,2.3,5.9,2.9
Berlin Hyp AG,DE,Banks,Diversified Banks,AAA,10,0,2.7,5.4
Berner Kantonalbank AG,CH,Banks,Diversified Banks,AA,7.8,5,4.7,7.1
Bertelsmann SE & Co KGaA,DE,Media & Entertainment,Broadcasting,A,6,8.7,4.7,4.9
Bertrandt Aktiengesellschaft,DE,Professional Services,Research & Consulting Services,A,6.4,6.7,6,5.8
Besqab AB (publ),SE,Real Estate Development & Diversified Activities,Homebuilding,BBB,5.4,4.5,4.9,4.5
Best Path Global Limited,VG,Commercial Services & Supplies,Real Estate Operating Companies,A,5.9,6.3,5.1,6
Betmakers Technology Group Ltd,AU,Software & Services,Casinos & Gaming,B,1.5,4.2,2.5,5.5
Betsson AB,SE,Casinos & Gaming,Casinos & Gaming,AA,8.1,8.5,6.6,4.8
Betta Pharmaceuticals Co Ltd,CN,Pharmaceuticals,Pharmaceuticals,B,2.8,3,4.1,2.9
Better Collective AS,DK,Interactive Media & Services,Interactive Media & Services,BBB,5.1,5.9,3.2,6.4
Bharti Airtel International (Netherlands) BV,NL,Telecommunication Services,Wireless Telecommunication Services,BBB,5.6,10,7.5,3
"Bi Hai Co, Ltd",CN,Diversified Financials,,CCC,0.5,4.1,3,3
Bilfinger SE,DE,Commercial Services & Supplies,Diversified Support Services,BBB,4.7,9,1.7,6.4
Bilia AB,SE,Retail - Consumer Discretionary,Automotive Retail,AA,7.8,3.3,6.3,6
Billcom Holdings Inc,US,Software & Services,Application Software,A,6.7,4.9,4.9,5.7
BillerudKorsnas Aktiebolag (publ),SE,Containers & Packaging,Paper Packaging,AA,7.8,4.9,5.7,7.3
BinDawood Holding Co,SA,Retail - Food & Staples,Hypermarkets & Super Centers,B,2.2,2,4.1,3
"Binex Co, Ltd",KR,Pharmaceuticals,Pharmaceuticals,B,1.5,0.9,4.3,1
BioArctic AB,SE,Biotechnology,Biotechnology,B,2.1,6.7,4.8,4.5
BioGaia AB,SE,Biotechnology,Biotechnology,A,6.2,5.6,4.6,6.1
BioXcel Therapeutics Inc,US,Biotechnology,Biotechnology,BBB,5.2,6.3,4.8,4.4
Bioatla Inc,US,Biotechnology,Biotechnology,A,6.2,7.1,4.7,5.4
Biohaven Pharmaceutical Holding Company Ltd,US,Biotechnology,Biotechnology,B,2.4,3.2,4.3,4.2
Bionano Genomics Inc,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,BBB,4.7,6.1,3.9,6.3
Biotage AB,SE,Health Care Equipment & Supplies,Life Sciences Tools & Services,A,6.1,7.8,5,6.1
Bioventix PLC,GB,Biotechnology,Biotechnology,B,1.6,6.4,3.3,3.3
Bjorn Borg AB,SE,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",AA,8.2,4.7,5.6,7.1
BlackBerry Limited,CA,Software & Services,Systems Software,A,6.2,10,4.5,5.5
Blackstone Inc,US,Asset Management & Custody Banks,Asset Management & Custody Banks,B,1.7,8.3,5.1,3.1
Blancco Technology Group PLC,GB,Software & Services,Systems Software,A,6.7,6.7,3.8,6.3
Blend Funding PLC,GB,Diversified Financials,,BBB,5.4,7,3.5,5.9
Bloomage Biotechnology Corp Ltd,CN,Biotechnology,Biotechnology,B,2.4,5.7,4.4,3.1
Bloomsbury Publishing PLC,GB,Media & Entertainment,Publishing,AA,8.5,4,4.5,8.4
Blue Bright Limited,HK,Diversified Financials,Other Diversified Financial Services,B,1.6,0,4.4,0.9
Blue Granite Investments No 1 (RF) Limited,ZA,Banks,Diversified Banks,AA,7.9,6.8,4,5.3
Blue Titanium Conduit (RF) Limited,ZA,Banks,Diversified Banks,AA,7.9,6.8,4,5.3
Blueprint Medicines Corp,US,Biotechnology,Biotechnology,B,1.7,5.1,3.2,4.3
Bluestep Bank AB (publ),SE,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,9,5.8,5.7
Boardwalk Real Estate Investment Trust,CA,Real Estate Management & Services,Residential REITs,BBB,4.5,4,3.6,6.8
Bocom Leasing Management Hong Kong Company Limited,HK,Banks,Diversified Banks,BBB,5.7,3.2,4.6,4.6
"Bohai Leasing Co, Ltd",CN,Trading Companies & Distributors,Trading Companies & Distributors,BB,3.4,5.3,3.9,4.2
Boliden AB,SE,Metals and Mining - Non-Precious Metals,Diversified Metals & Mining,AAA,10,5.5,6.7,7.4
Boliden Mineral AB,SE,Metals and Mining - Non-Precious Metals,Diversified Metals & Mining,AAA,10,5.5,6.7,7.4
Bollore,FR,Media & Entertainment,Movies & Entertainment,B,2.3,10,4.3,2.1
"Bolsa Mexicana de Valores, SAB de CV",MX,Diversified Financials,Financial Exchanges & Data,A,7,8.7,4.2,5.8
Bolt Biotherapeutics Inc,US,Biotechnology,Biotechnology,A,6.2,7.3,4.5,5.5
Bonava AB (publ),SE,Real Estate Development & Diversified Activities,Homebuilding,AA,7.3,6,5.6,6.1
Bonheur ASA,NO,Industrial Conglomerates,Industrial Conglomerates,BBB,4.7,3.7,3,4.5
Boozt AB,SE,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,A,7.1,7.7,3.5,6.5
Borealis AG,AT,Commodity Chemicals,Integrated Oil & Gas,AAA,9.4,6.6,8.7,6.2
Borussia Dortmund GmbH & Co Kommanditgesellschaft auf Aktien,DE,Media & Entertainment,Movies & Entertainment,A,6.9,6.8,6.1,4.9
Bossard Holding AG,CH,Trading Companies & Distributors,Trading Companies & Distributors,AA,7.7,3.8,6.1,4.7
Boston Omaha Corp,US,Media & Entertainment,Advertising,BB,3.5,6.7,1.9,4.4
Boubyan Sukuk Limited,KY,Banks,Diversified Banks,BB,3.8,2.4,3.1,5.3
Boule Diagnostics AB,SE,Health Care Equipment & Supplies,Health Care Equipment,A,7.1,6.6,7,6.3
Bow Centre Street Limited Partnership,CA,Real Estate Management & Services,Diversified REITs,BB,2.9,5.8,2.7,6.4
Boyd Group Services Inc,CA,Commercial Services & Supplies,Diversified Support Services,A,6.3,6.4,1.8,7.8
Brainchip Holdings Ltd,AU,Semiconductors & Semiconductor Equipment,Application Software,B,1.5,3.3,2.6,6
Braskem Idesa SAPI,MX,Commodity Chemicals,Commodity Chemicals,B,2.2,4.2,4.6,0.6
Braskem Netherlands BV,NL,Commodity Chemicals,Commodity Chemicals,B,2.2,4.2,4.6,0.6
Braskem Netherlands Finance BV,NL,Commodity Chemicals,Commodity Chemicals,B,2.2,4.2,4.6,0.6
Bravida Holding AB,SE,Commercial Services & Supplies,Diversified Support Services,AA,7.6,10,7.2,6.1
Bravura Solutions Ltd,AU,Software & Services,Application Software,A,6.9,3.6,4.5,6.9
Breitener Energetica SA,BR,Integrated Oil & Gas,Integrated Oil & Gas,BB,3.7,4.9,6.7,2
Brenntag Finance BV,NL,Trading Companies & Distributors,Trading Companies & Distributors,AA,8,3.1,6.6,6.6
Brenntag SE,DE,Trading Companies & Distributors,Trading Companies & Distributors,AA,8,3.1,6.6,6.6
Breville Group Ltd,AU,Household Durables,Household Appliances,AA,8.3,2.2,4.5,6.5
Brightcove Inc,US,Software & Services,Internet Services & Infrastructure,A,6.2,4.6,3.6,6.7
Brightspire Capital Inc,US,Asset Management & Custody Banks,Mortgage REITs,B,1.5,6.7,2.1,5.9
Brit Insurance Holdings BV,GB,Property & Casualty Insurance,Property & Casualty Insurance,CCC,0,3.5,2.9,5.3
British Columbia Ferry Services Inc,CA,Hotels & Travel,,BBB,5.1,1.7,5.6,5.3
British Transco International Finance BV,NL,Utilities,Multi-Utilities,AAA,9.6,8.4,7,7.2
"Broadleaf Co, Ltd",JP,Software & Services,Application Software,A,6,6.1,4.1,6
Brookfield Asset Management Reinsurance Partners Ltd,BM,Multi-Line Insurance & Brokerage,Reinsurance,BB,3.7,5,4.4,6
Brookfield BRP Holdings (Canada) Inc,CA,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
Brookfield Finance Inc,CA,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,6.5,7,5.8
Brookfield Infrastructure Holdings (Canada) Inc,CA,Utilities,Multi-Utilities,BBB,4.4,6,3.9,5.4
Brookfield Investments Corporation,CA,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,6.5,7,5.8
Brookfield Office Properties Inc,US,Real Estate Management & Services,Real Estate Operating Companies,A,6.6,5.7,6.6,6
Brookfield Property Finance ULC,CA,Real Estate Management & Services,Real Estate Operating Companies,A,6.6,5.7,6.6,6
Brookfield Property Split Corp,CA,Real Estate Management & Services,Real Estate Operating Companies,A,6.6,5.7,6.6,6
Brookfield Renewable Corp,US,Utilities,Renewable Electricity,BBB,5.6,7.1,2.8,4.2
Brookfield Renewable Partners LP,BM,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
Brookfield US Holdings Inc,CA,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,6.5,7,5.8
Brunel International NV,NL,Professional Services,Human Resource & Employment Services,AA,7.2,8,6.8,5.5
Bucher Industries AG,CH,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,A,6.2,4.1,5.7,4.4
Bufab AB (publ),SE,Trading Companies & Distributors,Trading Companies & Distributors,AAA,8.9,8.1,4.7,6.2
Bukit Asam Tbk PT,ID,Metals and Mining - Non-Precious Metals,Coal & Consumable Fuels,BB,2.9,2.9,4.8,1.4
"Bukwang PharmCo,Ltd",KR,Pharmaceuticals,Pharmaceuticals,BB,3.1,4.2,4.4,3.9
Bulgarian Energy Holding EAD,BG,Utilities,,B,2.1,5.2,3.6,0
Bulten AB,SE,Auto Components,Auto Parts & Equipment,AA,7.3,2,5.4,6.4
Bumble Inc,US,Interactive Media & Services,Interactive Media & Services,B,1.6,6.4,1.6,4
Bumrungrad Hospital Public Company Limited,TH,Health Care Providers & Services,Health Care Facilities,A,7,6.2,6.9,3.2
Bunge Finance Europe BV,US,Food Products,Agricultural Products,AAA,10,6,5,7.1
"Bunka Shutter Co, Ltd",JP,Building Products,Building Products,BB,2.9,4.4,4.3,3
Bupa Arabia for Cooperative Insurance Company SJSC,SA,Life & Health Insurance,Life & Health Insurance,BB,3.1,5,4,3.6
Bupa Chile SA,CL,Life & Health Insurance,Managed Health Care,A,7,7.3,5.3,6
Burckhardt Compression Holding AG,CH,Industrial Machinery,Industrial Machinery,A,6.6,4.9,4.7,5.8
Bure Equity AB,SE,Asset Management & Custody Banks,Asset Management & Custody Banks,BB,4.2,6.7,3.1,5.5
Burgan Bank (KPSC),KW,Banks,Diversified Banks,B,1.6,1.3,3.8,2
Burkhalter Holding AG,CH,Construction & Engineering,Construction & Engineering,A,6.5,3.1,5.2,5.6
Burning Rock Biotech Ltd,CN,Biotechnology,Biotechnology,B,2.1,4.2,4.2,3.9
Bushiroad Inc,JP,Media & Entertainment,Movies & Entertainment,BB,3.5,7,4.4,3.2
Butterfly Network Inc,US,Health Care Equipment & Supplies,Health Care Equipment,BB,3.4,6.4,5.5,2.7
By-health Co Ltd,CN,Household & Personal Products,Personal Products,BB,2.9,3.7,4.6,2.7
Bystronic AG,CH,Industrial Machinery,Industrial Machinery,B,1.7,4.3,2.9,3.4
Bytes Technology Group PLC,GB,Software & Services,Application Software,A,6.7,4.6,4.1,7.5
C & C GROUP PUBLIC LIMITED COMPANY,IE,Beverages,Distillers & Vintners,A,7,4.8,4.8,7.4
"C R BARD, INC",US,Health Care Equipment & Supplies,Health Care Equipment,BBB,4.5,10,4.7,4.9
C&A MODAS SA,BR,Retail - Consumer Discretionary,Apparel Retail,BBB,4.9,6.1,3.6,4.8
C&D INTERNATIONAL INVESTMENT GROUP LIMITED,HK,Real Estate Development & Diversified Activities,Real Estate Development,B,2.5,5.2,0,3.1
C&D Real Estate Corporation Limited,CN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4,1.7,1.4
"C&P HOMES, INTERNATIONAL LIMITED",KY,Real Estate Development & Diversified Activities,Real Estate Development,CCC,0.7,3.5,2.4,0.5
"C&S Paper Co,Ltd",CN,Household & Personal Products,Household Products,B,2,3.4,3.2,3.2
C-Mer Eye Care Holdings Ltd,HK,Health Care Providers & Services,Health Care Services,AA,7.4,7.6,6.7,4.8
C-SQUARE INFO-SOLUTIONS PRIVATE LIMITED,IN,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.9,5.1,5.2,4.3
C3ai Inc,US,Software & Services,Application Software,BBB,4.5,3.8,4.7,4.2
C4 Therapeutics Inc,US,Biotechnology,Biotechnology,BBB,4.5,6.6,4.1,5.1
CA CONSUMER FINANCE SA,FR,Banks,Diversified Banks,A,7.1,7.7,4.6,6.6
CA Immobilien Anlagen Aktiengesellschaft,AT,Real Estate Management & Services,Real Estate Operating Companies,AA,8.2,5.6,8.8,5.9
"CA, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,BB,3,5.6,2.1,5.9
"CABLE ONE, INC",US,Media & Entertainment,Cable & Satellite,A,7.1,8,5.4,4.3
CABLEVISION LIGHTPATH CT LLC,US,Media & Entertainment,Cable & Satellite,BB,2.9,7,4.2,3.4
CABLEVISION LIGHTPATH LLC,US,Media & Entertainment,Cable & Satellite,BB,2.9,7,4.2,3.4
CABLEVISION SYSTEMS CORPORATION,US,"Broadcasting, Cable & Satellite",Cable & Satellite,BB,2.9,7,4.2,3.4
CABOT CORPORATION,US,Commodity Chemicals,Commodity Chemicals,BB,3.8,3.9,0,5.4
CACI INTERNATIONAL INC,US,Professional Services,Research & Consulting Services,BBB,4.8,4.6,4.8,5.1
"CACTUS, INC",US,Energy Equipment & Services,Oil & Gas Equipment & Services,BBB,5.4,6.2,7,5.9
"CADENCE DESIGN SYSTEMS, INC",US,Software & Services,Application Software,AA,7.6,6.2,5.4,5.5
CADENT FINANCE PLC,GB,Utilities,,AAA,9.8,7,10,7
CADENT GAS LIMITED,GB,Utilities,,AAA,9.8,7,10,7
CADU Inmobiliaria SA de CV,MX,Real Estate Development & Diversified Activities,Homebuilding,BB,3.7,3.7,4.3,3.4
CAE INC,CA,Aerospace & Defense,Aerospace & Defense,AAA,9.5,2.9,5.9,7.1
CAESARS CAYMAN FINANCE LIMITED,KY,Casinos & Gaming,Casinos & Gaming,BBB,5.6,5.9,4.1,5.9
"CAESARS ENTERTAINMENT OPERATING COMPANY, INC",US,Casinos & Gaming,Casinos & Gaming,BBB,5.6,5.9,4.1,5.9
"CAESARS ENTERTAINMENT, INC",US,Casinos & Gaming,Casinos & Gaming,BBB,5.6,5.9,4.1,5.9
"CAESARS RESORT COLLECTION, LLC",US,Casinos & Gaming,Casinos & Gaming,BBB,5.6,5.9,4.1,5.9
"CAFCO, LLC",US,Banks,Diversified Banks,A,7,8.7,3.9,5
CAFE DE CORAL HOLDINGS LIMITED,HK,Restaurants,Restaurants,A,6.1,5,5,4.9
"CAI WIRELESS SYSTEMS, INC",US,Telecommunication Services,Integrated Telecommunication Services,AA,7.3,10,5.6,6.1
CAIRN HOMES PLC,IE,Real Estate Development & Diversified Activities,Homebuilding,A,6.8,4.9,4.5,7.2
CAIRN INDIA HOLDINGS LIMITED,JE,Metals and Mining - Non-Precious Metals,Diversified Metals & Mining,B,2.7,2,3.7,2.7
CAIRO NO 2 FINANCE DESIGNATED ACTIVITY COMPANY,IE,Banks,Diversified Banks,BBB,5.7,8.8,3.7,4.5
CAISSE CENTRALE CREDIT IMMOBILIER FRANCE SA,FR,Banks,,B,2.2,3.5,2.1,5.2
CAISSE DE REFINANCEMENT DE LHABITAT SA,FR,Banks,,AAA,10,0,4.9,7.2
CAISSE DEPARGNE ET DE PREVOYANCE DE MIDI PYRENEES SA,FR,Banks,,AA,8.3,8.3,4.6,6.6
CAISSE DEPARGNE ET DE PREVOYANCE HAUTS DE FRANCE SA,FR,Banks,,AA,8.3,8.3,4.6,6.6
CAISSE DEPARGNE ET DE PREVOYANCE ILE-DE-FRANCE,FR,Banks,,AA,8.3,8.3,4.6,6.6
CAISSE DES DEPOTS ET CONSIGNATIONS,FR,Supranationals & Development Banks,,B,2.5,1,4.6,6.5
CAISSE FRANCAISE DE FINANCEMENT LOCAL SA,FR,Banks,,AA,7.9,6.5,5.8,5.4
CAISSE NATIONALE DE REASSURANCE MUTUELLE AGRICOLE GROUPAMA,FR,Multi-Line Insurance & Brokerage,,A,6,7.6,5.8,3.6
CAIXASABADELL PREFERENTS SOCIEDAD ANONIMA,ES,Banks,Diversified Banks,AAA,10,9.9,6.3,5
"CAL DIVE I-TITLE XI, INC",US,Energy Equipment & Services,Oil & Gas Equipment & Services,BB,4,6,4.9,4.5
"CAL-MAINE FOODS, INC",US,Food Products,Packaged Foods & Meats,BB,4.1,3.3,4.8,3.7
"CALABRIO, INC",US,Asset Management & Custody Banks,Asset Management & Custody Banks,BB,4.2,7,4.8,2.9
"CALATLANTIC GROUP, INC",US,Real Estate Development & Diversified Activities,Homebuilding,BB,3.2,5.3,3.1,2.1
"CALAVO GROWERS, INC",US,Food Products,Packaged Foods & Meats,BB,3.8,0.9,5.2,4.3
CALC Bond 3 Limited,VG,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.4,3.2,2.3
CALC Bonds Limited,HK,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.4,3.2,2.3
CALEDONIAN ENVIRONMENTAL SERVICES PLC,GB,Industrial Conglomerates,Water Utilities,B,2.3,4.1,4.4,4.9
CALFRAC HOLDINGS LP,US,Energy Equipment & Services,Oil & Gas Equipment & Services,BB,3,5.6,5.2,4
CALFRAC WELL SERVICES LTD,CA,Energy Equipment & Services,Oil & Gas Equipment & Services,BB,3,5.6,5.2,4
CALIFORNIA RESOURCES CORPORATION,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,5.5,3.8,4.2,6.2
CALIFORNIA WATER SERVICE COMPANY,US,Utilities,Water Utilities,BB,3.3,4.2,4.8,6.4
CALIFORNIA WATER SERVICE GROUP,US,Utilities,Water Utilities,BB,3.3,4.2,4.8,6.4
"CALIX, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,BBB,4.8,2.5,3.9,6.1
CALLAWAY GOLF COMPANY,US,Leisure Products,Leisure Products,A,5.8,0.6,5.1,6.3
CALLON PETROLEUM COMPANY,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BB,3.8,1.9,5.1,6.1
CALPINE COGENERATION CORPORATION,US,Utilities,,B,2.7,3.8,5.7,4
"CALPINE CONSTRUCTION FINANCE COMPANY, LP",US,Utilities,,B,2.7,3.8,5.7,4
CALPINE CORPORATION,US,Utilities,,B,2.7,3.8,5.7,4
"CALPINE GENERATING COMPANY, LLC",US,Utilities,,B,2.7,3.8,5.7,4
CALPINE POWER COMPANY,US,Utilities,,B,2.7,3.8,5.7,4
"CALPINE STEAMBOAT HOLDINGS, LLC",US,Utilities,,B,2.7,3.8,5.7,4
"CALUMET SPECIALTY PRODUCTS PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,B,2.3,2,5.8,4.6
CAMDEN CAPITAL TRUST A,US,Banks,Regional Banks,BBB,5.4,1.9,3.9,5.6
CAMDEN NATIONAL CORPORATION,US,Banks,Regional Banks,BBB,5.4,1.9,3.9,5.6
CAMDEN PROPERTY TRUST,US,Real Estate Management & Services,Residential REITs,BBB,5.5,6.3,6.6,4.2
CAMERON INTERNATIONAL CORPORATION,US,Energy Equipment & Services,Oil & Gas Equipment & Services,AA,7.6,8.3,6,6
"CAMERON LNG, LLC",US,Utilities,Multi-Utilities,A,7,6.9,6.2,5.9
CAMIL ALIMENTOS SA,BR,Food Products,Packaged Foods & Meats,BB,3,1.8,5.9,4.8
CAMPBELL SOUP COMPANY,US,Food Products,Packaged Foods & Meats,AA,7.6,4.5,6.1,4.8
"CAMPING WORLD HOLDINGS, INC",US,Retail - Consumer Discretionary,Automotive Retail,BBB,5.4,3.7,5.1,4.7
CAMPOS NOVOS ENERGIA SA,BR,Metals and Mining - Non-Precious Metals,Diversified Metals & Mining,A,6.3,4.1,4.3,5.2
CANADA GOOSE HOLDINGS INC,CA,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",BBB,4.9,3.9,4.2,4.4
CANADAS WONDERLAND COMPANY,CA,Hotels & Travel,Leisure Facilities,BBB,5.1,3.4,4.8,5.8
CANADIAN IMPERIAL BANK OF COMMERCE,GB,Banks,Diversified Banks,AA,8.4,10,4.2,5.9
CANADIAN IMPERIAL BANK OF COMMERCE,AU,Banks,Diversified Banks,AA,8.4,10,4.2,5.9
CANADIAN IMPERIAL HOLDINGS INC,US,Banks,Diversified Banks,AA,8.4,10,4.2,5.9
CANADIAN NATURAL RESOURCES LIMITED,CA,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,4.8,1.7,5.8,6.1
CANADIAN REAL ESTATE INVESTMENT TRUST,CA,Real Estate Management & Services,Diversified REITs,BB,4.2,7,2.9,5
"CANADIAN TIRE CORPORATION, LIMITED",CA,Retail - Consumer Discretionary,General Merchandise Stores,AA,7.3,6.1,5.1,6.2
CANADIAN UTILITIES LIMITED,CA,Utilities,Multi-Utilities,A,6.8,7.1,6.9,4.4
CANARA BANK,GB,Banks,Diversified Banks,A,5.9,1.2,5.7,4.7
CANBANK FACTORS LIMITED,IN,Banks,Diversified Banks,A,5.9,1.2,5.7,4.7
CANCOM SE,DE,Software & Services,IT Consulting & Other Services,BBB,5.7,5.2,3.2,6.9
CANFOR CORPORATION,CA,Paper & Forest Products,Forest Products,AA,7.4,5,4.6,6.7
"CANNAE HOLDINGS, INC",US,Diversified Financials,Multi-Sector Holdings,BB,3.5,6.5,1.2,5.8
"CANO HEALTH, INC",US,Health Care Providers & Services,Health Care Facilities,BBB,4.4,5.1,4.4,4.8
CANON ELECTRONICS INC,JP,"Electronic Equipment, Instruments & Components",Electronic Components,BBB,4.8,2.9,7.3,2.2
CANON INC,JP,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BBB,4.8,3.6,4.7,4.1
CANVEST ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED,HK,Utilities,Renewable Electricity,A,6.1,5.6,4.9,4.6
CAP SA,CL,Steel,Steel,BBB,4.5,2.1,5.1,5
"CAPCOM CO, LTD",JP,Media & Entertainment,Interactive Home Entertainment,A,6.3,8.7,4.9,5.4
CAPEX SA,AR,Utilities,Independent Power Producers & Energy Traders,B,2.3,4.9,2.1,1.6
CAPGEMINI SE,FR,Software & Services,IT Consulting & Other Services,AA,7.4,7,4.3,7.4
CAPITA PLC,GB,Software & Services,Data Processing & Outsourced Services,A,6.2,10,2.9,7.3
CAPITAL & COUNTIES PROPERTIES PLC,GB,Real Estate Management & Services,Retail REITs,BBB,4.7,6.3,2.3,6
